2026/09/20 03:41:38.590, 149.11, 1957, 7001, 54, 100, 10798
2026/09/20 03:41:48.623, 147.53, 1957, 7001, 54, 100, 10782
2026/09/20 03:41:58.655, 149.41, 1957, 7001, 55, 100, 10763
2026/09/20 03:42:08.688, 149.77, 1957, 7001, 54, 100, 10727
2026/09/20 03:42:18.719, 143.12, 1957, 7001, 54, 100, 10811
2026/09/20 03:42:28.750, 145.24, 1957, 7001, 54, 100, 10787
2026/09/20 03:42:38.782, 143.84, 1957, 7001, 54, 100, 10781
2026/09/20 03:42:48.814, 145.15, 1957, 7001, 53, 100, 10797
2026/09/20 03:42:58.846, 148.10, 1957, 7001, 54, 100, 10816
2026/09/20 03:43:08.879, 149.63, 1957, 7001, 55, 100, 10824
2026/09/20 03:43:18.911, 149.51, 1957, 7001, 54, 100, 10818
2026/09/20 03:43:28.945, 149.65, 1957, 7001, 54, 100, 10818
2026/09/20 03:43:38.976, 149.57, 1957, 7001, 55, 100, 10818
2026/09/20 03:43:49.010, 149.13, 1957, 7001, 54, 100, 10818
2026/09/20 03:43:59.042, 149.41, 1957, 7001, 55, 100, 10818
2026/09/20 03:44:09.074, 149.67, 1957, 7001, 54, 100, 10818
2026/09/20 03:44:19.105, 148.66, 1957, 7001, 55, 100, 10818
2026/09/20 03:44:29.137, 149.28, 1957, 7001, 54, 100, 10818
2026/09/20 03:44:39.169, 149.42, 1957, 7001, 54, 100, 10818
2026/09/20 03:44:49.202, 149.56, 1957, 7001, 55, 100, 10791
2026/09/20 03:44:59.233, 148.86, 1957, 7001, 54, 100, 10791
2026/09/20 03:45:09.265, 144.31, 1957, 7001, 54, 100, 10849
2026/09/20 03:45:19.296, 145.25, 1957, 7001, 54, 100, 10874
2026/09/20 03:45:29.328, 147.00, 1957, 7001, 54, 100, 10863
2026/09/20 03:45:39.363, 148.43, 1957, 7001, 54, 100, 10885
2026/09/20 03:45:49.397, 147.08, 1957, 7001, 54, 100, 10895
2026/09/20 03:45:59.429, 146.45, 1957, 7001, 54, 100, 10834
2026/09/20 03:46:09.461, 147.32, 1957, 7001, 54, 100, 10830
2026/09/20 03:46:19.493, 147.32, 1957, 7001, 54, 100, 10830
2026/09/20 03:46:29.526, 148.33, 1957, 7001, 54, 100, 10898
2026/09/20 03:46:39.558, 145.16, 1957, 7001, 54, 100, 10893
2026/09/20 03:46:49.590, 149.59, 1957, 7001, 55, 100, 10893
2026/09/20 03:46:59.622, 149.38, 1957, 7001, 54, 100, 10893
2026/09/20 03:47:09.656, 149.94, 1957, 7001, 55, 100, 10893
2026/09/20 03:47:19.688, 149.87, 1957, 7001, 55, 100, 10893
2026/09/20 03:47:29.720, 150.12, 1957, 7001, 55, 100, 10893
2026/09/20 03:47:39.753, 149.73, 1957, 7001, 54, 100, 10893
